id,candidate,candidate_aliases,disease,stage,ai_stage_confidence,platform,developer,status,last_update,source,source_url,supporting_trial_count,sources_seen
CIDRAP-e1b102cecd,mRNA-1283 / mNEXSPIKE,,COVID-19,Approved/Authorized,medium,mRNA/RNA,Moderna,CIDRAP landscape update,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape-updates,0,CIDRAP Coronavirus Vaccine Technology Landscape
CIDRAPFLU-575995fa35,mRNA-1083 / mCOMBRIAX,,Influenza / COVID-19,Approved/Authorized,medium,mRNA/RNA,Moderna,European Commission marketing authorization noted by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0,CIDRAP Universal Influenza Vaccine Technology Landscape
WHOMPOX-0541f81b7e,ACAM2000,,Mpox / Smallpox,Approved/Authorized,medium,Live vaccinia,Emergent BioSolutions,Repurposed smallpox vaccine in WHO mpox tracker,2026-05-08,WHO Mpox Vaccine Tracker,https://www.who.int/publications/m/item/mpox-vaccine-tracker---list-of-vaccine-candidates-in-research---development,0,WHO Mpox Vaccine Tracker
WHOMPOX-28b8326607,LC16m8,,Mpox / Smallpox,Approved/Authorized,medium,Live attenuated,KM Biologics,Repurposed smallpox vaccine in WHO mpox tracker,2026-05-08,WHO Mpox Vaccine Tracker,https://www.who.int/publications/m/item/mpox-vaccine-tracker---list-of-vaccine-candidates-in-research---development,0,WHO Mpox Vaccine Tracker
WHOMPOX-b1ad50c296,MVA-BN / Jynneos / Imvanex,,Mpox / Smallpox,Approved/Authorized,medium,Viral vector,Bavarian Nordic,Repurposed smallpox vaccine in WHO mpox tracker,2026-05-08,WHO Mpox Vaccine Tracker,https://www.who.int/publications/m/item/mpox-vaccine-tracker---list-of-vaccine-candidates-in-research---development,0,WHO Mpox Vaccine Tracker
WHO-ce8ea74ba8,R21/Matrix-M,,Malaria,Phase 4,medium,Protein/subunit/VLP,University of Oxford; Serum Institute of India; Novavax,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0,WHO Vaccine Pipeline Tracker / public landscape; WHO malaria vaccine clinical development review
WHO-af4308b118,"RTS,S/AS01","RTS,S/AS01E",Malaria,Phase 4,medium,Protein/subunit/VLP,GSK; PATH; partners,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0,WHO Vaccine Pipeline Tracker / public landscape; WHO malaria vaccine clinical development review
PATH-278f1af4ae,Nirsevimab / Beyfortus,Nirsevimab,RSV,Phase 4,medium,Preventive mAb,AstraZeneca; Sanofi,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0,PATH RSV and mAb Trial Tracker
PATH-819ad36c09,RSVpreF / Abrysvo,RSVPreF3 OA / Arexvy,RSV,Phase 4,medium,Protein/subunit/VLP,GSK,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0,PATH RSV and mAb Trial Tracker
PATH-823ec889b5,mRNA-1345,mRNA-1345 / mRESVIA,RSV,Phase 4,medium,mRNA/RNA,Moderna,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0,PATH RSV and mAb Trial Tracker
